,Order ID,Extension Of,Archive,Quantity,City,Parent ID
156,SL5245,,0,1,Bangalore,1
157,SL5246,,0,1,Bangalore,1
158,SL5254,,0,1,Bangalore,1
159,SL5255,,0,1,Bangalore,1
160,SL10126,,0,1,Bangalore,1
161,SL10134,,0,1,Bangalore,1
162,SL10143,,0,1,Bangalore,1
163,SL11333,,0,1,Bangalore,1
164,SL11338,,0,1,Bangalore,1
165,SL11365,,0,1,Bangalore,1
166,SL11377,,0,1,Bangalore,1
167,SL11384,,0,1,Bangalore,1
168,SL10004,,0,1,Hyderabad,1
169,SL10046,SL384,0,1,Hyderabad,1
170,SL10058,,0,1,Hyderabad,1
171,SL10070,,0,1,Hyderabad,1
172,SL10092,SL171,0,1,Hyderabad,1
173,SL11335,,0,1,Hyderabad,1
174,SL11364,,0,1,Hyderabad,1
175,SL11366,,0,1,Hyderabad,1
